# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
18178,-13432,32218,-18157,-30846,-32768,-32768
18193,-16803,28961,-16545,-31957,-32768,-32768
18208,-20318,25574,-13126,-32768,-32768,-32768
18223,-23689,22156,-9433,-32768,-32768,-32768
18238,-26801,18834,-6466,-32768,-32768,-32768
18253,-29720,15447,-2870,-32768,-32768,-32768
18283,-32768,5659,1985,-32768,-32768,-32768
18299,-32768,5304,11975,-32768,-32768,-32768
18313,-32768,1192,16979,-31656,-32768,-32768
18329,-32768,-1049,21346,-27939,-32768,-32768
18343,-32768,-3272,25921,-24206,-32768,-32768
18359,-32768,-5623,29590,-20696,-32768,-32768
18372,-32768,-7545,31829,-16996,-32768,-32768
18389,-32768,-10134,32767,-14327,-32768,-32768
18403,-32768,-12580,32767,-12294,-32768,-32768
18418,-32768,-14470,32767,-10610,-32768,-32768
18433,-31219,-18060,32767,-9356,-32768,-32768
18448,-28994,-21427,32767,-9181,-32768,-32768
18463,-26914,-23952,32767,-8022,-32768,-32768
18478,-25285,-24445,32767,-7958,-32768,-32768
18493,-22705,-27939,32767,-7704,-32768,-32768
18508,-20109,-29845,32767,-7704,-32768,-32768
18523,-17174,-31608,32767,-7704,-32768,-32768
18538,-14319,-31957,32767,-7704,-32768,-32768
18552,-10820,-32768,32767,-7783,-32768,-32768
18568,-7482,-32768,32767,-8133,-32768,-32768
18583,-3821,-32768,32767,-9927,-32768,-32768
18598,-628,-32768,32767,-13231,-32768,-32768
18613,1493,-32768,30956,-18584,-32768,-32768
18628,3764,-32768,25667,-23841,-32768,-32768
18643,6829,-32768,20552,-28749,-32768,-32768
18658,11245,-32768,16153,-32275,-32768,-32768
18673,16709,-31910,11515,-32768,-32768,-32768
18688,23237,-27558,6305,-32768,-32768,-32768
18702,29034,-21379,-1080,-32768,-32768,-32768
18718,32767,-14978,-9111,-32768,-32768,-32768
18733,32767,-9308,-16609,-31910,-32768,-32768
18747,32767,-3765,-18609,-30798,-32768,-32768
18763,32767,-64,-21028,-29003,-32768,-32768
18778,32767,1176,-23930,-26001,-32768,-32768
18792,32767,3159,-27768,-22030,-32768,-32768
18807,32767,6449,-29720,-19839,-32768,-32768
18823,32767,11545,-29720,-19839,-32768,-32768
18838,30225,17979,-32768,-14994,-32768,-32768
18854,24412,25349,-32768,-9991,-32768,-32768
18868,17344,31638,-32768,-5718,-32768,-32768
18884,10165,32767,-32768,-1875,-32768,-32768
18898,4320,32767,-32768,2208,-32768,-32768
18913,619,32767,-32768,6449,-32768,-32768
18928,-2273,32767,-32768,9997,-32768,-32768
18943,-4789,32767,-32687,14915,-32768,-32768
18958,-8417,32767,-29945,19833,-32768,-32768
18974,-12239,32767,-26269,24510,-32768,-32768
18989,-16045,28864,-22560,27961,-32768,-32768
19003,-20641,23833,-19512,30170,-32768,-32768
19032,-25511,19140,-16867,31734,-32768,-32768
19048,-29462,15350,-14061,32767,-32768,-32768
19063,-32300,12303,-11030,32767,-32768,-32768
19078,-32768,9271,-7837,32767,-32768,-32768
19094,-32768,6175,-4644,32767,-32768,-32768
19108,-32768,3159,-1015,32767,-32768,-32768
19123,-32768,224,2573,32767,-32768,-32768
19138,-32768,-2796,6655,32767,-32768,-32768
19153,-32768,-9181,15025,32750,-32768,-32768
19168,-32768,-11818,19663,30186,-32768,-32768
19183,-32380,-15915,21950,28541,-32768,-32768
19197,-29687,-20458,23713,27090,-32768,-32768
19213,-25075,-25858,26207,24655,-32768,-32768
19228,-19593,-30179,28272,22220,-32768,-32768
19243,-13739,-32768,30241,19430,-32768,-32768
19258,-8337,-32768,31893,16544,-32768,-32768
19273,-3386,-32768,32767,13496,-32768,-32768
19288,1191,-32768,32767,10464,-32768,-32768
19303,4844,-32768,32767,7465,-32768,-32768
19319,8354,-32768,32767,4562,-32768,-32768
19333,10816,-32768,32767,2853,-32768,-32768
19348,11086,-32768,32767,1514,-32768,-32768
19363,11277,-32768,32767,-318,-32768,-32768
19378,11356,-32768,32767,-2431,-32768,-32768
19393,14199,-32768,32767,-5337,-32768,-32768
19408,18218,-31084,32767,-9642,-32768,-32768
19423,22824,-27907,32767,-14645,-32768,-32768
19438,27223,-23651,30098,-19966,-32768,-32768
19454,31369,-17726,25984,-24127,-32768,-32768
19469,32767,-10992,20568,-28145,-32768,-32768
19483,32767,-3129,14310,-32672,-32768,-32768
19498,32767,3175,7560,-32768,-32768,-32768
19513,32767,7287,1731,-32768,-32768,-32768
19528,32767,12045,-3950,-32768,-32768,-32768
19542,30749,17221,-12110,-32768,-32768,-32768
19557,26779,22559,-23108,-26795,-32768,-32768
19573,22268,27542,-29962,-19251,-32768,-32768
19588,18027,31251,-31993,-16662,-32768,-32768
19603,14104,32767,-32268,-15074,-32768,-32768
19618,11165,32767,-32768,-10738,-32768,-32768
19633,8211,32767,-32768,-7402,-32768,-32768
19648,5432,32767,-32768,-5401,-32768,-32768
19663,2636,32767,-32768,-3352,-32768,-32768
19678,-306,32767,-32768,-620,-32768,-32768
19693,-3918,32767,-32768,1547,-32768,-32768
19708,-7804,32767,-32768,3788,-32768,-32768
19724,-12175,32767,-32768,6771,-32768,-32768
19739,-15755,30299,-32768,9416,-32768,-32768
19754,-19125,26945,-32768,12432,-32768,-32768
19768,-22544,23623,-32219,15931,-32768,-32768
19783,-25479,20737,-30349,19253,-32768,-32768
19798,-27801,20737,-28188,22301,-32768,-32768
19813,-29816,15689,-25591,25220,-32768,-32768
19828,-32042,12303,-22463,28042,-32768,-32768
19843,-32768,9303,-19705,30057,-32768,-32768
19858,-32768,7062,-17125,31589,-32768,-32768
19873,-32768,6868,-14497,32767,-32768,-32768
19889,-32768,3175,-11917,32767,-32768,-32768
19903,-32768,208,-10046,32767,-32768,-32768
19918,-32768,-1986,-7530,32767,-32768,-32768
19933,-32768,-4734,-5547,32767,-32768,-32768
19948,-32768,-8482,-3402,32767,-32768,-32768
19963,-32768,-12961,-1402,32767,-32768,-32768
19978,-31848,-16916,508,32767,-32768,-32768
19993,-29752,-20379,2573,32767,-32768,-32768
20008,-27446,-23365,5003,32767,-32768,-32768
20023,-24705,-26208,7798,32767,-32768,-32768
20039,-20770,-29400,10800,32767,-32768,-32768
20068,-14432,-32768,13802,32767,-32768,-32768
20084,-7353,-32768,17153,31686,-32768,-32768
20098,-80,-32768,19568,30251,-32768,-32768
20113,5447,-32768,21029,29235,-32768,-32768
20128,9672,-32768,22808,27864,-32768,-32768
20143,11388,-32768,24873,26010,-32768,-32768
20158,11737,-32768,26334,24526,-32768,-32768
20173,14120,-32768,26731,24075,-32768,-32768
20188,6909,-8387,27303,23430,-32768,-32768
20203,238,-239,28970,21301,-32768,-32768
20218,238,-239,30908,18334,-32768,-32768
20233,238,-239,32369,15576,-32768,-32768
20248,238,-239,32767,12641,-32768,-32768
20263,238,-239,32767,10448,-32768,-32768
20278,238,-239,32767,9061,-32768,-32768
20293,238,-239,32767,8674,-32768,-32768
20308,238,-239,32767,8416,-32768,-32768
20398,238,-239,32767,8094,-32768,-32768
20443,238,-239,32767,8061,-32768,-32768
20458,238,-239,32767,7852,-32768,-32768
20488,238,-239,32767,7078,-32768,-32768
20504,238,-239,32767,5207,-32768,-32768
20519,238,-239,32767,3885,-32768,-32768
20533,238,-239,32767,2159,-32768,-32768
20548,238,-239,32767,-1462,-32768,-32768
20563,238,-239,31814,-9594,-32768,-32768
20578,238,-239,16407,-21903,-32768,-32768
20593,238,-239,8688,-32768,-32768,-32768
20609,238,-239,8052,-32768,-32768,-32768
20623,238,-239,9641,-32768,-32768,-32768
20638,238,-239,12071,-32768,-32768,-32768
20654,238,-239,13246,-32768,-32768,-32768
20713,238,-239,13723,-32768,-32768,-32768
20728,238,-239,13866,-32768,-32768,-32768
20758,238,-239,14660,-32768,-32768,-32768
20773,238,-239,15629,-32513,-32768,-32768
20788,238,-239,17058,-31799,-32768,-32768
20803,238,-239,17646,-31481,-32768,-32768
20818,238,-239,18535,-30973,-32768,-32768
20833,238,-239,19043,-30671,-32768,-32768
20848,238,-239,20362,-29829,-32768,-32768
20863,238,-239,21791,-28797,-32768,-32768
20877,238,-239,23840,-25604,-32768,-32768
20893,238,-239,27811,-20649,-32768,-32768
20908,238,-239,32624,-15455,-32768,-32768
20923,238,-239,32767,-12548,-32768,-32768
20938,238,-239,32767,-12199,-32768,-32768
20968,238,-239,32767,-12262,-32768,-32768
20998,238,-239,32767,-12183,-32768,-32768
21013,238,-239,32767,-11945,-32768,-32768
21043,238,-239,32767,-12024,-32768,-32768
21058,238,-239,32767,-12135,-32768,-32768
21133,238,-239,32767,-12215,-32768,-32768
21163,238,-239,32767,-12326,-32768,-32768
