# sticktest
# device      Pro Controller
# sdl mapping yes
# hidapi hint 0
# axes 4, buttons 18, hats 0
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3
#
# axis  min      max      rest      values  step
# a0   -1.0000  +1.0000  +0.00097     295  1
# a1   -1.0000  +1.0000  +0.00185     267  3
# a2   -1.0000  +1.0000  +0.00000     161  1
# a3   -1.0000  +1.0000  -0.00000     200  2
#
# stick 0 (a0/a1): 72/72 sectors swept past half reach
#   rail hits: a0 7466, a1 7022 of 18245 samples
#   roundness 0.7097 (min 1.0037 max 1.4142 mean 1.1461 sd 0.1337, 48 low)
#   reach X -1.0000 / +1.0000 (100.00%)   Y -1.0000 / +1.0000 (100.00%)
#   drift 0.00209 (rest x +0.00097 y +0.00185)
#   envelope: sector-centre deg, max radius, visits
#   env 0    2.5 1.0038 2051
#   env 0    7.5 1.0154 2853
#   env 0   12.5 1.0353 2465
#   env 0   17.5 1.0640 2820
#   env 0   22.5 1.1027 2810
#   env 0   27.5 1.1546 2899
#   env 0   32.5 1.2206 5207
#   env 0   37.5 1.3052 4882
#   env 0   42.5 1.4138 3851
#   env 0   47.5 1.4142 29771
#   env 0   52.5 1.3054 3258
#   env 0   57.5 1.2201 4065
#   env 0   62.5 1.1547 7790
#   env 0   67.5 1.1032 3293
#   env 0   72.5 1.0638 3229
#   env 0   77.5 1.0351 6000
#   env 0   82.5 1.0153 5331
#   env 0   87.5 1.0038 6531
#   env 0   92.5 1.0038 4559
#   env 0   97.5 1.0154 4009
#   env 0  102.5 1.0352 3338
#   env 0  107.5 1.0641 2063
#   env 0  112.5 1.1033 4847
#   env 0  117.5 1.1546 3219
#   env 0  122.5 1.2203 1749
#   env 0  127.5 1.3042 4454
#   env 0  132.5 1.4129 2217
#   env 0  137.5 1.4142 25913
#   env 0  142.5 1.3051 1660
#   env 0  147.5 1.2205 8153
#   env 0  152.5 1.1541 3708
#   env 0  157.5 1.1030 2045
#   env 0  162.5 1.0642 2045
#   env 0  167.5 1.0352 3199
#   env 0  172.5 1.0154 1689
#   env 0  177.5 1.0038 2895
#   env 0  182.5 1.0037 2410
#   env 0  187.5 1.0154 1268
#   env 0  192.5 1.0352 2056
#   env 0  197.5 1.0640 1631
#   env 0  202.5 1.1030 2036
#   env 0  207.5 1.1544 2791
#   env 0  212.5 1.2204 1675
#   env 0  217.5 1.3049 5377
#   env 0  222.5 1.4135 3366
#   env 0  227.5 1.4142 21184
#   env 0  232.5 1.3048 4066
#   env 0  237.5 1.2207 4793
#   env 0  242.5 1.1542 930
#   env 0  247.5 1.1028 3118
#   env 0  252.5 1.0639 1272
#   env 0  257.5 1.0352 1232
#   env 0  262.5 1.0154 2150
#   env 0  267.5 1.0038 3624
#   env 0  272.5 1.0038 4007
#   env 0  277.5 1.0154 1756
#   env 0  282.5 1.0353 4435
#   env 0  287.5 1.0642 2964
#   env 0  292.5 1.1034 4462
#   env 0  297.5 1.1544 2853
#   env 0  302.5 1.2206 5270
#   env 0  307.5 1.3049 2547
#   env 0  312.5 1.4142 6301
#   env 0  317.5 1.4142 34044
#   env 0  322.5 1.3050 36724
#   env 0  327.5 1.2202 4035
#   env 0  332.5 1.1546 2512
#   env 0  337.5 1.1033 5293
#   env 0  342.5 1.0642 4527
#   env 0  347.5 1.0352 4877
#   env 0  352.5 1.0154 3329
#   env 0  357.5 1.0038 3263
#
# stick 1 (a2/a3): 72/72 sectors swept past half reach
#   rail hits: a2 3040, a3 2483 of 18245 samples
